from,to,weight,relationship,time
HP,H,3,,
HP,HG,3,,
HP,RW,3,,
HP,GW,3,,
HP,D,2,,
HP,CC,3,,
RW,HG,3,,
RW,GW,3,,
RW,H,2,,
HG,H,2,,
HG,GW,1,,
